,stock,material,descripcion,tipoMaterial,umb,mat,sm,grupo,jerarquia,numerofab,fabricante,extension,creado,modificado
16558,71000511568,91000020278,"GRATING, NONMETALLIC",HERS,ST,,,314119,,DWG N. 93646D,TERRY,,2016-04-27,2022-11-01
16559,71000511584,91000020280,SPRING,HERS,ST,,,311619,,044112,SOLAR,,2016-04-27,
16560,71000511584,91000020281,SPRING,HERS,ST,,,311619,,044112,TERRY,,2016-04-27,
16561,71000511584,91000020282,SPRING,HERS,ST,,,311619,,DWG. 1012270,TERRY,,2016-04-27,
16562,71000511592,91000020283,"STEM, FLUID VALVE",HERS,ST,,,40141616,,85042C,TERRY,,2016-04-27,
16563,71000511600,91000020284,"RING, RETAINING",HERS,ST,,,31163202,,AMI-MISC 1517,CIB-DWG,,2016-04-27,
16564,71000511600,91000020285,"RING, RETAINING",HERS,ST,,,31163202,,58110,TERRY,,2016-04-27,
16565,71000511618,91000020286,TAPPET ASSEMBLY,HERS,ST,,,261017,,DWG. 49927,TERRY,,2016-04-27,
16566,71000511618,91000020287,TAPPET ASSEMBLY,HERS,ST,,,261017,,W214105-013,TERRY,,2016-04-27,
16567,71000511626,91000020288,VALVE,HERS,ST,,,401416,,103661C,TERRY,,2016-04-27,
16568,71000511634,91000020289,VALVE,HERS,ST,,,401416,,99233C,TERRY,,2016-04-27,
16569,71000511915,91000020291,"BEARING, BALL, THRUST",HERS,ST,,,31171504,,W178359-001,TURBODYN,,2016-04-27,2022-10-01
16570,71000511923,91000020292,"GRATING, NONMETALLIC",HERS,ST,,,314119,,W178364-001,TURBODYN,,2016-04-27,2022-11-01
16571,71000511949,91000020293,"COUPLING, SHAFT, FLEXIBLE",HERS,ST,,,31163013,,A-15660,GCB-DWG,,2016-04-27,
16572,71000511949,91000020294,"COUPLING, SHAFT, FLEXIBLE",HERS,ST,,,31163013,,L-075,LOVEJOY,,2016-04-27,
16573,71000512038,91000020295,"BUSHING, SLEEVE",HERS,ST,,,311716,,W29963-002,TERRY,,2016-04-27,
16574,71000512046,91000020296,"CUP-EMERGENCY GOVERNOR, ASSEMBLY",HERS,ST,,,261017,,W405336-003,TERRY,,2016-04-27,2022-11-04
16575,71000512046,91500032214,"CUP-EMERGENCY GOVERNOR, ASSEMBLY",HERS,ST,,,261017,,405336 003,TERRY,,2018-01-29,2022-11-04
16576,71000512053,91000020297,GEAR,HERS,ST,,,311717,,W168761-003,TERRY,,2016-04-27,
16577,71000512053,91500025865,GEAR,HERS,ST,,,311717,,168761003,TERRY,,2017-07-21,
16578,71000512061,91000020298,GEAR,HERS,ST,,,311717,,105098,TRAN-MEC,,2016-04-27,
16579,71000512079,91000020299,"PUMP, OIL LUBRICATING.",HERS,ST,,,261017,,6009934 001,WORTH-TU,,2016-04-27,
16580,71000512095,91000020300,"RING, CARBON",HERS,ST,,,261017,,03129096,LORRAINE,,2016-04-27,2022-11-04
16581,71000512111,91000020301,VALVE,HERS,ST,,,401416,,DWG. LD-169041-N,TERRY,,2016-04-27,
16582,71000512111,91000020302,VALVE,HERS,ST,,,401416,,W150455-001,TERRY,,2016-04-27,
16583,71000512129,91000020303,"STEM, FLUID VALVE",HERS,ST,,,40141616,,DWG: LD-169041-N,TERRY,,2016-04-27,
16584,71000512129,91000020304,"STEM, FLUID VALVE",HERS,ST,,,40141616,,W150457-001,TERRY,,2016-04-27,
16585,71000512137,91000020305,VALVE,HERS,ST,,,401416,,DWG: LE-173102-N,TERRY,,2016-04-27,
16586,71000512137,91000020306,VALVE,HERS,ST,,,401416,,W69531-701,TERRY,,2016-04-27,
16587,71000512145,91000020307,"BEARING,JOURNAL.",HERS,ST,,,311715,,30F0652G01,WEST-SG,,2016-04-27,
16588,71000512160,91000020309,"GRATING, NONMETALLIC",HERS,ST,,,314119,,32F0762G01,WEST-SG,,2016-04-27,2022-11-01
16589,71000512160,91000020310,"GRATING, NONMETALLIC",HERS,ST,,,314119,,32F0762-G01,WESTING,,2016-04-27,2022-11-01
16590,71000512178,91000020311,"BEARING, ROLLER, THRUST",HERS,ST,,,31171505,,30F653GR1,WEST-SG,,2016-04-27,
16591,71000512186,91000020312,"BEARING,THRUST",HERS,ST,,,311715,,30F0651001,WEST-SG,,2016-04-27,
16592,71000512210,91000020313,BALL JOINT,HERS,ST,,,261017,,E-120,WEST-SG,,2016-04-27,
16593,71000512228,91000020314,"LEVER, TRIP, ASSEMBLY",HERS,ST,,,261017,,29F0238G01,WEST-SG,,2016-04-27,2022-11-04
16594,71000512244,91000020315,LINER,HERS,SET,,,261017,,E116/POS.8,WEST-SG,,2016-04-27,
16595,71000512251,91000020316,SUPPORT,HERS,ST,,,311625,,20H214-IT-1,WEST-SG,,2016-04-27,
16596,71000512251,91000020317,SUPPORT,HERS,ST,,,311625,,E-116-120,WEST-SG,,2016-04-27,
16597,71000512269,91000020318,"RING, NOZZLE",HERS,ST,,,261017,,E120/POS.1,WEST-SG,,2016-04-27,
16598,71000512277,91000020319,"FILLER, OIL",HERS,ST,,,261017,,22F07361T16,WEST-SG,,2016-04-27,2022-11-05
16599,71000512293,91000020320,"SCREW, ADJUSTING, VALVE TAPPET",HERS,ST,,,31161511,,E116/POS.12,WEST-SG,,2016-04-27,2022-10-03
16600,71000512327,91000020321,"RING, CARBON",HERS,ST,,,261017,,AMI-MISC-101,CIB-DWG,,2016-04-27,2022-11-04
16601,71000512376,91000020322,"SEAT, SPRING",HERS,ST,,,261017,,ITEM 18,WEST-SG,,2016-04-27,
16602,71000512384,91000020323,GOVERNOR,HERS,ST,,,26101766,,20H0210Y01,WEST-SG,,2016-04-27,
16603,71000512392,91000020324,SEGMENT,HERS,ST,,,261017,,ITEM 23,WEST-SG,,2016-04-27,2022-10-07
16604,71000512418,91000020325,GOVERNOR,HERS,ST,,,261017,,1L  1110-19A,WEST-SG,,2016-04-27,2022-10-07
16605,71000512418,91000020326,GOVERNOR,HERS,ST,,,261017,,E120/POS.16,WEST-SG,,2016-04-27,2022-10-07
16606,71000512426,91000020327,SPRING,HERS,ST,,,311619,,04H0414001,WEST-SG,,2016-04-27,
16607,71000512426,91000020328,SPRING,HERS,ST,,,311619,,04H0414001,WESTING,,2016-04-27,
16608,71000512434,91000020329,SPRING,HERS,ST,,,311619,,E120/POS.5,WEST-SG,,2016-04-27,
16609,71000512442,91000020330,SPRING,HERS,ST,,,311619,,4H3791T1,WEST-SG,,2016-04-27,
16610,71000512459,91000020331,SPRING,HERS,ST,,,311619,,ITEM 31,WEST-SG,,2016-04-27,
16611,71000512467,91000020332,SPRING,HERS,ST,,,311619,,SS-3661,WEST-SG,,2016-04-27,
16612,71000512475,91000020333,VALVE,HERS,ST,,,401416,,1L-1110-8LA,WEST-SG,,2016-04-27,
16613,71000512483,91000020334,VALVE,HERS,ST,,,401416,,1L-1110-99A,WEST-SG,,2016-04-27,
16614,71000512509,91000020335,"WEIGHT, BALANCE",HERS,ST,,,261017,,1001555001,WEST-SG,,2016-04-27,
16615,71000512517,91000020336,"BAFFLE,  OIL",HERS,ST,,,261017,,T641701,WORTH-TU,,2016-04-27,
16616,71000512525,91000020337,"BAFFLE, FLUID COOLER, INDUSTRIAL",HERS,ST,,,261017,,T649821,WORTH-TU,,2016-04-27,
